Title,Rating,Votes,Stars,Genres,Start_Year,End_Year
NCIS,7.8,152138,"['Sean Murray', 'Mark Harmon', 'Pauley Perrette']","['Action', 'Crime', 'Drama']",2003,2023
Glee,6.8,150725,"['Jane Lynch', 'Matthew Morrison', 'Cory Monteith']","['Comedy', 'Drama', 'Music']",2009,2015
Buffy the Vampire Slayer,8.3,150705,"['Nicholas Brendon', 'Alyson Hannigan', 'Anthony Head']","['Action', 'Drama', 'Fantasy']",1997,2003
This Is Us,8.7,147980,"['Mandy Moore', 'Sterling K. Brown', 'Chrissy Metz']","['Comedy', 'Drama', 'Romance']",2016,2022
Invincible,8.7,147899,"['J.K. Simmons', 'Sandra Oh', 'Zazie Beetz']","['Animation', 'Action', 'Adventure']",2021,2023
Riverdale,6.6,147381,"['Camila Mendes', 'Cole Sprouse', 'K.J. Apa']","['Crime', 'Drama', 'Mystery']",2017,2023
The Last Kingdom,8.5,146504,"['Eliza Butterworth', 'Arnas Fedaravicius', 'Mark Rowley']","['Action', 'Drama', 'History']",2015,2022
Tom Clancy's Jack Ryan,8.0,146477,"['Wendell Pierce', 'Michael Kelly', 'John Hoogenakker']","['Action', 'Drama', 'Thriller']",2018,2023
Freaks and Geeks,8.8,145711,"['John Francis Daley', 'James Franco', 'Samm Levine']","['Comedy', 'Drama']",1999,2000
Severance,8.7,143620,"['Zach Cherry', 'Britt Lower', 'Tramell Tillman']","['Drama', 'Mystery', 'Sci-Fi']",2022,2023
Luther,8.4,143276,"['Dermot Crowley', 'Michael Smiley', 'Warren Brown']","['Crime', 'Drama', 'Mystery']",2010,2019
Bridgerton,7.4,143149,"['Luke Thompson', 'Jonathan Bailey', 'Bessie Carter']","['Drama', 'History', 'Romance']",2020,2023
Taboo,8.3,141551,"['David Hayman', 'Jonathan Pryce', 'Oona Chaplin']","['Drama', 'Mystery', 'Thriller']",2017,2023
Chuck,8.2,141012,"['Yvonne Strahovski', 'Joshua Gomez', 'Vik Sahay']","['Action', 'Comedy', 'Drama']",2007,2012
After Life,8.4,140934,"['Tom Basden', 'Tony Way', 'Diane Morgan']","['Comedy', 'Drama']",2019,2022
The Originals,8.3,139368,"['Daniel Gillies', 'Claire Holt', 'Phoebe Tonkin']","['Drama', 'Fantasy', 'Horror']",2013,2018
The Fresh Prince of Bel-Air,7.9,138063,"['James Avery', 'Alfonso Ribeiro', 'Tatyana Ali']",['Comedy'],1990,1996
Six Feet Under,8.7,137779,"['Michael C. Hall', 'Frances Conroy', 'Lauren Ambrose']","['Comedy', 'Drama']",2001,2005
Dragon Ball Z,8.8,135119,"['Christopher Sabat', 'Scott McNeil', 'Sean Schemmel']","['Animation', 'Action', 'Adventure']",1989,1996
Malcolm in the Middle,8.1,134583,"['Bryan Cranston', 'Justin Berfield', 'Erik Per Sullivan']","['Comedy', 'Family']",2000,2006
White Collar,8.2,134278,"['Tim DeKay', 'Willie Garson', 'Tiffani Thiessen']","['Comedy', 'Crime', 'Drama']",2009,2014
Luke Cage,7.3,133906,"['Simone Missick', 'Theo Rossi', 'Alfre Woodard']","['Action', 'Crime', 'Drama']",2016,2018
Iron Fist,6.4,133849,"['Jessica Henwick', 'Jessica Stroup', 'Tom Pelphrey']","['Action', 'Adventure', 'Crime']",2017,2018
Reacher,8.1,133490,"['Malcolm Goodwin', 'Willa Fitzgerald', 'Hugh Thompson']","['Action', 'Crime', 'Drama']",2022,2023
Fear the Walking Dead,6.8,133225,"['Frank Dillane', 'Cliff Curtis', 'Rubén Blades']","['Drama', 'Horror', 'Sci-Fi']",2015,2023
Curb Your Enthusiasm,8.8,132560,"['Cheryl Hines', 'Jeff Garlin', 'Susie Essman']",['Comedy'],2000,2023
Gilmore Girls,8.2,132466,"['Alexis Bledel', 'Keiko Agena', 'Scott Patterson']","['Comedy', 'Drama']",2000,2007
Desperate Housewives,7.6,131795,"['Felicity Huffman', 'Marcia Cross', 'Eva Longoria']","['Comedy', 'Drama', 'Mystery']",2004,2012
Smallville,7.5,131227,"['Michael Rosenbaum', 'Allison Mack', 'Kristin Kreuk']","['Action', 'Adventure', 'Drama']",2001,2011
American Dad!,7.4,130530,"['Wendy Schaal', 'Scott Grimes', 'Rachael MacFarlane']","['Animation', 'Comedy']",2005,2023
Sex and the City,7.3,130432,"['Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon']","['Comedy', 'Drama', 'Romance']",1998,2004
The Sinner,7.9,129179,"['Jessica Hecht', 'Dohn Norwood', 'Adam LeFevre']","['Crime', 'Drama', 'Mystery']",2017,2021
Andor,8.4,127923,"['Kyle Soller', 'Stellan Skarsgård', ""Genevieve O'Reilly""]","['Action', 'Adventure', 'Drama']",2022,2023
Schitt's Creek,8.5,127023,"[""Catherine O'Hara"", 'Dan Levy', 'Annie Murphy']",['Comedy'],2015,2020
30 Rock,8.3,126529,"['Alec Baldwin', 'Tracy Morgan', 'Jack McBrayer']",['Comedy'],2006,2013
Star Trek: Discovery,7.0,125964,"['Doug Jones', 'Anthony Rapp', 'Emily Coutts']","['Action', 'Adventure', 'Drama']",2017,2024
Supergirl,6.2,125830,"['Chyler Leigh', 'David Harewood', 'Katie McGrath']","['Action', 'Adventure', 'Drama']",2015,2021
The Legend of Korra,8.4,125377,"['P.J. Byrne', 'David Faustino', 'J.K. Simmons']","['Animation', 'Action', 'Adventure']",2012,2014
Penny Dreadful,8.2,125064,"['Timothy Dalton', 'Eva Green', 'Reeve Carney']","['Drama', 'Fantasy', 'Horror']",2014,2016
Star Trek: The Next Generation,8.7,124940,"['Brent Spiner', 'Jonathan Frakes', 'LeVar Burton']","['Action', 'Adventure', 'Sci-Fi']",1987,1994
Mr. Bean,8.6,123587,"['Matilda Ziegler', 'Robin Driscoll', 'Matthew Ashforde']","['Comedy', 'Family']",1990,1995
Grimm,7.9,123161,"['Russell Hornsby', 'Silas Weir Mitchell', 'Sasha Roiz']","['Crime', 'Drama', 'Fantasy']",2011,2017
Lie to Me,8.0,122510,"['Kelli Williams', 'Brendan Hines', 'Monica Raymund']","['Crime', 'Drama', 'Mystery']",2009,2011
Killing Eve,8.1,122130,"['Sandra Oh', 'Fiona Shaw', 'Kim Bodnia']","['Action', 'Adventure', 'Drama']",2018,2022
Revenge,7.8,121577,"['Emily VanCamp', 'Gabriel Mann', 'Nick Wechsler']","['Drama', 'Mystery', 'Thriller']",2011,2015
What If...?,7.4,121487,"['Terri Douglas', 'Matthew Wood', 'Robin Atkin Downes']","['Animation', 'Action', 'Adventure']",2021,2023
Top Gear,8.7,121205,"['Richard Hammond', 'James May', 'The Stig']","['Adventure', 'Comedy', 'Reality-TV']",2002,2023
The Newsroom,8.6,118359,"['Emily Mortimer', 'John Gallagher Jr.', 'Alison Pill']",['Drama'],2012,2014
The Marvelous Mrs. Maisel,8.7,117707,"['Alex Borstein', 'Michael Zegen', 'Marin Hinkle']","['Comedy', 'Drama']",2017,2023
Broadchurch,8.4,116983,"['Olivia Colman', 'Jodie Whittaker', 'Andrew Buchan']","['Crime', 'Drama', 'Mystery']",2013,2017
Peacemaker,8.3,116915,"['Danielle Brooks', 'Freddie Stroma', 'Jennifer Holland']","['Action', 'Adventure', 'Comedy']",2022,2023
The Office,8.5,116047,"['Martin Freeman', 'Mackenzie Crook', 'Lucy Davis']","['Comedy', 'Drama']",2001,2003
The Killing,8.3,115074,"['Joel Kinnaman', 'Billy Campbell', 'Liam James']","['Crime', 'Drama', 'Mystery']",2011,2014
Gravity Falls,8.9,115040,"['Alex Hirsch', 'Kristen Schaal', 'Linda Cardellini']","['Animation', 'Adventure', 'Comedy']",2012,2016
Elementary,7.9,113518,"['Lucy Liu', 'Aidan Quinn', 'Jon Michael Hill']","['Crime', 'Drama', 'Mystery']",2012,2019
Weeds,7.9,112791,"['Hunter Parrish', 'Alexander Gould', 'Kevin Nealon']","['Comedy', 'Crime', 'Drama']",2005,2012
Orphan Black,8.3,112712,"['Dylan Bruce', 'Jordan Gavaris', 'Kevin Hanchard']","['Drama', 'Sci-Fi', 'Thriller']",2013,2017
Law & Order: Special Victims Unit,8.1,111908,"['Christopher Meloni', 'Ice-T', 'Dann Florek']","['Crime', 'Drama', 'Mystery']",1999,2023
Only Murders in the Building,8.1,110799,"['Martin Short', 'Selena Gomez', 'Amy Ryan']","['Comedy', 'Crime', 'Drama']",2021,2023
Bates Motel,8.1,110562,"['Freddie Highmore', 'Max Thieriot', 'Nicola Peltz Beckham']","['Drama', 'Horror', 'Mystery']",2013,2017
Deadwood,8.6,110187,"['Ian McShane', 'Molly Parker', 'Brad Dourif']","['Crime', 'Drama', 'History']",2004,2006
The Fall,8.1,109395,"['Jamie Dornan', 'John Lynch', 'Aisling Franciosi']","['Crime', 'Drama', 'Thriller']",2013,2016
Banshee,8.4,108446,"['Ivana Milicevic', 'Ulrich Thomsen', 'Frankie Faison']","['Action', 'Crime', 'Drama']",2013,2016
The Wheel of Time,7.1,108364,"['Daniel Henney', 'Madeleine Madden', 'Zoë Robins']","['Action', 'Adventure', 'Drama']",2021,2023
Under the Dome,6.5,108211,"['Rachelle Lefevre', 'Alexander Koch', 'Colin Ford']","['Drama', 'Mystery', 'Sci-Fi']",2013,2015
Hunter x Hunter,9.0,107717,"['Megumi Han', 'Cristina Valenzuela', 'Mariya Ise']","['Animation', 'Action', 'Adventure']",2011,2014
